#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.572068    0.572068           0
           2    0.549542    0.560805  0.00796436
           3    0.557885    0.559832   0.0053687
           4    0.572216    0.562928  0.00483758
           5    0.581716    0.566685  0.00512576
           6    0.554582    0.564668   0.0046515
           7    0.561833    0.564263   0.0040046
           8    0.565086    0.564366  0.00350534
           9     0.55855     0.56372  0.00317486
          10     0.54896    0.562244  0.00318202
