#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -4.70352    -4.70352           0
           2    -4.69842    -4.70097  0.00180389
           3    -4.70051    -4.70082    0.001209
           4    -4.70195     -4.7011  0.00093944
           5    -4.70334    -4.70155 0.000851158
           6    -4.70171    -4.70158 0.000709724
           7    -4.70288    -4.70176 0.000632316
           8    -4.70125     -4.7017 0.000556523
           9    -4.70301    -4.70184 0.000513384
          10    -4.70249    -4.70191 0.000466043
