#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.06712     3.06712           0
           2     2.95037     3.00875   0.0412776
           3     3.17933     3.06561   0.0539693
           4     3.17965     3.09412   0.0474132
           5     3.12592     3.10048   0.0383547
           6     3.03962     3.09034   0.0332763
           7       2.907     3.06415   0.0374365
           8     2.87014      3.0399   0.0398446
           9     2.73084     3.00556   0.0479851
          10     2.68107     2.97311   0.0530347
          11     2.53863     2.93361   0.0611785
          12     2.56995      2.9033   0.0631417
          13     2.46263     2.86941   0.0667667
          14     2.43904     2.83867   0.0687109
          15        2.38     2.80809   0.0706069
          16     2.36215     2.78022   0.0714836
          17     2.32613     2.75351   0.0720966
          18     2.31143     2.72895   0.0721531
          19     2.27498     2.70505   0.0722033
          20      2.2903     2.68432   0.0715092
          21     2.27462     2.66481   0.0707152
          22      2.2679     2.64677   0.0697643
          23     2.26321     2.63009   0.0686953
          24     2.22572     2.61324   0.0678677
          25     2.19928     2.59668   0.0671426
          26     2.16838     2.58021   0.0665503
          27     2.16924     2.56499   0.0658031
          28     2.14593     2.55002   0.0651327
          29     2.17471     2.53708   0.0641597
          30     2.15771     2.52443   0.0632549
          31     2.18552      2.5135   0.0621521
          32     2.16718     2.50268   0.0611448
          33     2.16556     2.49246   0.0601393
          34     2.18043     2.48329   0.0590666
          35     2.15398     2.47388   0.0581235
          36     2.19503     2.46613   0.0570228
          37     2.24159     2.46006   0.0558036
          38     2.22998     2.45401   0.0546626
          39     2.22719     2.44819   0.0535695
          40     2.18962     2.44173   0.0526188
          41     2.18195     2.43539   0.0517155
          42     2.16416     2.42893   0.0508858
          43     2.14293     2.42228   0.0501352
          44     2.14358     2.41595   0.0493943
          45     2.13099     2.40962   0.0487009
          46     2.08773     2.40262   0.0481422
          47     2.08162     2.39579   0.0475999
          48     2.10721     2.38978   0.0469864
          49     2.08534     2.38356   0.0464364
          50     2.12764     2.37844   0.0457889
          51     2.12169     2.37341    0.045167
          52     2.12093     2.36856   0.0445586
          53     2.13143     2.36408   0.0439419
          54     2.14875     2.36009   0.0433087
          55     2.15763     2.35641   0.0426775
          56     2.16616     2.35302   0.0420504
          57     2.19299     2.35021   0.0414063
          58     2.17012      2.3471   0.0408086
          59     2.20178     2.34464   0.0401912
          60      2.1691     2.34171   0.0396277
          61     2.18011     2.33906   0.0390665
          62     2.13175     2.33572   0.0385792
          63     2.14996     2.33277   0.0380794
          64     2.15018     2.32992   0.0375911
          65     2.13642     2.32694   0.0371305
          66      2.1286     2.32394   0.0366893
          67     2.16289     2.32153   0.0362204
          68     2.13867     2.31884   0.0357874
          69     2.15038      2.3164   0.0353519
          70     2.12894     2.31372   0.0349482
          71     2.12979     2.31113   0.0345519
          72      2.1217      2.3085    0.034172
          73     2.12721     2.30602    0.033794
          74     2.09445     2.30316   0.0334581
          75     2.13658     2.30094   0.0330856
          76       2.163     2.29912      0.0327
          77     2.15898      2.2973   0.0323259
          78     2.16038     2.29555   0.0319591
          79      2.1315     2.29347    0.031622
          80     2.11571     2.29125   0.0313047
          81     2.09192     2.28879   0.0310148
          82     2.08311     2.28628   0.0307378
          83     2.08323     2.28383   0.0304647
          84     2.05844     2.28115   0.0302199
          85     2.02301     2.27811   0.0300166
          86     2.02257     2.27514   0.0298143
          87      2.0159     2.27216   0.0296201
          88     2.00739     2.26915    0.029436
          89      1.9898     2.26602   0.0292721
          90     2.01654     2.26324   0.0290778
          91     2.03666     2.26075   0.0288647
          92     1.99607     2.25788   0.0286939
          93     2.02146     2.25533   0.0284978
          94     1.99644     2.25258   0.0283274
          95     1.98518     2.24977   0.0281687
          96     1.98057     2.24696   0.0280145
          97     1.97426     2.24415   0.0278664
          98     1.97596     2.24141   0.0277161
          99     1.95662     2.23854    0.027585
         100     1.98452       2.236   0.0274259
         101     2.00438      2.2337   0.0272501
         102     1.95932     2.23101   0.0271153
         103     2.02468     2.22901    0.026926
         104     1.99041     2.22672   0.0267646
         105      1.9992     2.22455   0.0265973
         106     1.98198     2.22226   0.0264447
         107     1.97595     2.21996   0.0262975
         108     1.98282     2.21776   0.0261455
         109     2.00623     2.21582   0.0259776
         110     2.00344     2.21389   0.0258131
         111     2.03178     2.21225   0.0256326
         112     2.03213     2.21064   0.0254541
         113     2.07983     2.20949   0.0252552
         114     2.07269     2.20829   0.0250621
         115     2.06401     2.20703   0.0248756
         116     2.03938     2.20559   0.0247031
         117     2.02521     2.20404     0.02454
         118     2.00928     2.20239   0.0243875
         119     1.97944     2.20052   0.0242544
         120     2.00235     2.19887   0.0241085
         121     2.01525     2.19735   0.0239569
         122     2.03137     2.19599   0.0237992
         123     2.03884     2.19471   0.0236399
         124      2.0275     2.19336   0.0234877
         125     2.05301     2.19224   0.0233266
         126      2.0396     2.19103   0.0231729
         127     2.03204     2.18978   0.0230243
         128     2.04282     2.18863    0.022873
         129     2.03919     2.18747    0.022725
         130     2.04963     2.18641   0.0225749
         131     2.07475     2.18556   0.0224187
         132     2.05427     2.18456   0.0222709
         133     2.05436     2.18358    0.022125
         134     2.06904     2.18273   0.0219764
         135     2.03669     2.18165   0.0218402
         136     1.97658     2.18014   0.0217316
         137     1.99416     2.17878   0.0216153
         138     1.99161     2.17743   0.0215012
         139     1.97344     2.17596   0.0213965
         140     2.00266     2.17472   0.0212795
         141      1.9879      2.1734   0.0211698
         142     2.01958     2.17231   0.0210484
         143      2.0102     2.17118   0.0209317
         144     2.01367     2.17009   0.0208149
         145     1.99674     2.16889   0.0207056
         146     1.99944     2.16773   0.0205963
         147     1.98206     2.16647   0.0204949
         148     1.95865     2.16506   0.0204045
         149       1.995     2.16392   0.0202994
