#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.49771    -1.49771           0
           2    -1.37651    -1.43711    0.042853
           3    -1.61036    -1.49486    0.055133
           4    -1.60626    -1.52271   0.0478701
           5    -1.55205    -1.52858    0.038654
           6    -1.46655    -1.51824    0.033566
           7    -1.33286    -1.49176   0.0378013
           8    -1.29566    -1.46725   0.0402463
           9    -1.15603    -1.43267   0.0484011
          10    -1.10578    -1.39998   0.0534722
          11   -0.964224    -1.36036   0.0615601
          12   -0.994208    -1.32985   0.0635437
          13   -0.886658    -1.29576   0.0671814
          14   -0.863428    -1.26488   0.0691167
          15   -0.803352    -1.23411    0.071028
          16   -0.786319    -1.20612   0.0718914
          17   -0.749317    -1.17925   0.0725106
          18   -0.734818    -1.15456   0.0725643
          19   -0.698395    -1.13055   0.0726084
          20   -0.713885    -1.10972   0.0719047
          21   -0.697436    -1.09009   0.0711104
          22   -0.690928    -1.07194   0.0701546
          23   -0.685457    -1.05514   0.0690875
          24   -0.649015    -1.03822   0.0682498
          25   -0.621274    -1.02154   0.0675268
          26   -0.591243    -1.00499   0.0669269
          27   -0.591947   -0.989692   0.0661734
          28   -0.568952   -0.974666   0.0654939
          29    -0.59719   -0.961649    0.064516
          30   -0.580977    -0.94896   0.0636011
          31   -0.608232   -0.937969    0.062492
          32   -0.589403   -0.927076   0.0614811
          33   -0.589001   -0.916831   0.0604655
          34   -0.602996   -0.907601   0.0593875
          35   -0.577343   -0.898165   0.0584355
          36    -0.61833   -0.890392    0.057327
          37   -0.664623    -0.88429   0.0561014
          38   -0.652626   -0.878194   0.0549553
          39   -0.650644   -0.872359    0.053855
          40   -0.611377   -0.865834   0.0529024
          41   -0.605297    -0.85948   0.0519924
          42   -0.586756   -0.852986   0.0511583
          43   -0.565858   -0.846309   0.0504025
          44   -0.566794   -0.839956   0.0496557
          45   -0.553711   -0.833595    0.048958
          46   -0.510042   -0.826562   0.0483963
          47   -0.504917   -0.819718    0.047848
          48   -0.530379    -0.81369   0.0472293
          49   -0.508507   -0.807462   0.0466743
          50   -0.550695   -0.802327   0.0460225
          51    -0.54482   -0.797277   0.0453962
          52   -0.544132   -0.792409   0.0447835
          53   -0.554164   -0.787914   0.0441635
          54   -0.572197   -0.783919    0.043526
          55   -0.580163   -0.780215    0.042892
