#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0555556   0.0555556           0
           2   0.0555556   0.0555556           0
           3   0.0555556   0.0555556           0
           4   0.0555556   0.0555556           0
           5   0.0555556   0.0555556  2.9451e-10
           6   0.0555556   0.0555556  2.6885e-10
           7   0.0555556   0.0555556 4.31119e-10
           8   0.0555556   0.0555556 4.03275e-10
           9   0.0555556   0.0555556 3.80211e-10
          10   0.0555556   0.0555556   3.607e-10
          11   0.0555556   0.0555556 4.43991e-10
          12   0.0555556   0.0555556 4.25089e-10
          13   0.0555556   0.0555556 4.08412e-10
          14   0.0555556   0.0555556 3.93556e-10
          15   0.0555556   0.0555556 3.80211e-10
          16   0.0555556   0.0555556 3.68138e-10
          17   0.0555556   0.0555556 3.57146e-10
          18   0.0555556   0.0555556  2.6885e-10
          19   0.0555556   0.0555556 2.61679e-10
          20   0.0555556   0.0555556 2.55053e-10
          21   0.0555556   0.0555556 2.48906e-10
          22   0.0555556   0.0555556 3.13949e-10
          23   0.0555556   0.0555556 3.07048e-10
          24   0.0555556   0.0555556 3.00583e-10
          25   0.0555556   0.0555556  2.9451e-10
          26   0.0555556   0.0555556 2.88791e-10
          27   0.0555556   0.0555556 2.83392e-10
          28   0.0555556   0.0555556 2.78286e-10
          29   0.0555556   0.0555556 2.73446e-10
          30   0.0555556   0.0555556  2.6885e-10
          31   0.0555556   0.0555556 2.64478e-10
          32   0.0555556   0.0555556 2.60313e-10
          33   0.0555556   0.0555556 2.56338e-10
          34   0.0555556   0.0555556  2.5254e-10
          35   0.0555556   0.0555556 2.48906e-10
          36   0.0555556   0.0555556 1.90105e-10
          37   0.0555556   0.0555556 1.08264e-10
          38   0.0555556   0.0555556  1.0683e-10
          39   0.0555556   0.0555556           0
          40   0.0555556   0.0555556 1.47255e-10
          41   0.0555556   0.0555556 1.78137e-10
          42   0.0555556   0.0555556 2.48906e-10
          43   0.0555556   0.0555556 2.84051e-10
          44   0.0555556   0.0555556 2.97838e-10
          45   0.0555556   0.0555556 3.40071e-10
          46   0.0555556   0.0555556 3.36354e-10
          47   0.0555556   0.0555556 3.59418e-10
          48   0.0555556   0.0555556 3.55655e-10
          49   0.0555556   0.0555556 3.87893e-10
          50   0.0555556   0.0555556 3.83994e-10
          51   0.0555556   0.0555556 4.12397e-10
          52   0.0555556   0.0555556 4.08412e-10
          53   0.0555556   0.0555556 4.14531e-10
          54   0.0555556   0.0555556 4.29786e-10
          55   0.0555556   0.0555556  4.3502e-10
          56   0.0555556   0.0555556 4.40009e-10
          57   0.0555556   0.0555556 4.44769e-10
          58   0.0555556   0.0555556 4.40918e-10
          59   0.0555556   0.0555556 4.53668e-10
          60   0.0555556   0.0555556 4.57834e-10
          61   0.0555556   0.0555556 4.54066e-10
          62   0.0555556   0.0555556  4.5039e-10
          63   0.0555556   0.0555556 4.69342e-10
          64   0.0555556   0.0555556 4.65661e-10
          65   0.0555556   0.0555556 4.62065e-10
          66   0.0555556   0.0555556 4.79565e-10
          67   0.0555556   0.0555556 4.75972e-10
          68   0.0555556   0.0555556  4.7246e-10
          69   0.0555556   0.0555556 4.69024e-10
          70   0.0555556   0.0555556 4.72267e-10
          71   0.0555556   0.0555556 4.81779e-10
          72   0.0555556   0.0555556 4.78421e-10
          73   0.0555556   0.0555556 4.62461e-10
          74   0.0555556   0.0555556 4.65661e-10
          75   0.0555556   0.0555556 4.74883e-10
          76   0.0555556   0.0555556 4.71749e-10
          77   0.0555556   0.0555556 4.68675e-10
          78   0.0555556   0.0555556 4.71594e-10
          79   0.0555556   0.0555556 4.68599e-10
          80   0.0555556   0.0555556 4.71446e-10
          81   0.0555556   0.0555556 4.68527e-10
          82   0.0555556   0.0555556 4.65661e-10
          83   0.0555556   0.0555556 4.68458e-10
          84   0.0555556   0.0555556 4.65661e-10
          85   0.0555556   0.0555556 4.62914e-10
          86   0.0555556   0.0555556 4.71045e-10
          87   0.0555556   0.0555556  4.6833e-10
          88   0.0555556   0.0555556 4.65661e-10
          89   0.0555556   0.0555556  4.6827e-10
          90   0.0555556   0.0555556 4.65661e-10
          91   0.0555556   0.0555556 4.63096e-10
          92   0.0555556   0.0555556 4.60572e-10
          93   0.0555556   0.0555556 4.68158e-10
          94   0.0555556   0.0555556 4.65661e-10
          95   0.0555556   0.0555556 4.68106e-10
          96   0.0555556   0.0555556 4.65661e-10
          97   0.0555556   0.0555556 4.63255e-10
          98   0.0555556   0.0555556 4.60885e-10
          99   0.0555556   0.0555556 4.58552e-10
         100   0.0555556   0.0555556 4.56253e-10
         101   0.0555556   0.0555556  4.6335e-10
         102   0.0555556   0.0555556 4.61073e-10
         103   0.0555556   0.0555556 4.63395e-10
         104   0.0555556   0.0555556 4.61162e-10
         105   0.0555556   0.0555556 4.58961e-10
         106   0.0555556   0.0555556 4.56791e-10
         107   0.0555556   0.0555556 4.54651e-10
         108   0.0555556   0.0555556 4.52541e-10
         109   0.0555556   0.0555556 4.50461e-10
         110   0.0555556   0.0555556 4.52783e-10
         111   0.0555556   0.0555556 4.50739e-10
         112   0.0555556   0.0555556 4.53017e-10
         113   0.0555556   0.0555556 4.51008e-10
         114   0.0555556   0.0555556 4.49025e-10
         115   0.0555556   0.0555556 4.47069e-10
         116   0.0555556   0.0555556 4.45137e-10
         117   0.0555556   0.0555556 4.43231e-10
         118   0.0555556   0.0555556 4.41349e-10
         119   0.0555556   0.0555556 4.39491e-10
         120   0.0555556   0.0555556 4.37656e-10
         121   0.0555556   0.0555556 4.35843e-10
         122   0.0555556   0.0555556 4.46169e-10
         123   0.0555556   0.0555556 4.44351e-10
         124   0.0555556   0.0555556 4.42556e-10
         125   0.0555556   0.0555556 4.40782e-10
         126   0.0555556   0.0555556  4.3903e-10
         127   0.0555556   0.0555556 4.37298e-10
         128   0.0555556   0.0555556 4.35586e-10
         129   0.0555556   0.0555556 4.33895e-10
         130   0.0555556   0.0555556 4.32223e-10
         131   0.0555556   0.0555556  4.3057e-10
         132   0.0555556   0.0555556 4.28936e-10
         133   0.0555556   0.0555556  4.2732e-10
         134   0.0555556   0.0555556 4.25723e-10
         135   0.0555556   0.0555556 4.27913e-10
         136   0.0555556   0.0555556 4.33752e-10
         137   0.0555556   0.0555556 4.32166e-10
         138   0.0555556   0.0555556 4.30598e-10
         139   0.0555556   0.0555556 4.29046e-10
         140   0.0555556   0.0555556 4.27511e-10
         141   0.0555556   0.0555556 4.25992e-10
         142   0.0555556   0.0555556  4.2449e-10
         143   0.0555556   0.0555556 4.23003e-10
         144   0.0555556   0.0555556 4.21531e-10
