#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.35937    -6.35937           0
           2    -6.33839    -6.34888  0.00742009
           3    -6.29947    -6.33241   0.0143294
           4    -6.22718     -6.3061   0.0251903
           5     -6.1372    -6.27232   0.0363178
           6    -6.01445    -6.22934   0.0495505
           7    -5.84713    -6.17474   0.0660246
           8    -5.67727    -6.11256   0.0819821
           9    -5.51524    -6.04619   0.0960513
          10    -5.39664    -5.98123    0.106161
          11    -5.34453    -5.92335    0.111175
          12    -5.36119    -5.87651    0.111344
          13    -5.42673    -5.84191    0.108021
          14    -5.50854    -5.81809    0.102896
          15    -5.57876    -5.80214   0.0972657
          16    -5.62264    -5.79092   0.0918313
          17    -5.63666    -5.78185   0.0868766
          18    -5.62759    -5.77328   0.0824717
          19    -5.60356    -5.76434   0.0786133
          20    -5.57271    -5.75476   0.0752643
          21    -5.54258    -5.74466   0.0723554
          22    -5.51927    -5.73441    0.069788
          23    -5.50561    -5.72446   0.0674591
          24    -5.50342    -5.71525    0.065274
          25    -5.51262    -5.70715   0.0631643
          26    -5.52811    -5.70026   0.0611091
          27    -5.54353    -5.69446   0.0591209
          28    -5.55695    -5.68955    0.057213
          29    -5.56615    -5.68529   0.0553982
          30    -5.56809    -5.68139   0.0536891
          31    -5.56383    -5.67759    0.052091
          32    -5.55371    -5.67372   0.0506068
          33     -5.5475     -5.6699   0.0492176
          34    -5.55345    -5.66647    0.047889
          35    -5.57099    -5.66374   0.0465984
          36    -5.59432    -5.66182   0.0453439
          37    -5.61709    -5.66061   0.0441345
          38    -5.63531    -5.65994   0.0429781
          39    -5.64947    -5.65967   0.0418769
          40    -5.66367    -5.65977   0.0408301
          41    -5.67893    -5.66024   0.0398369
          42    -5.69063    -5.66096    0.038895
          43    -5.69397    -5.66173    0.037998
          44    -5.68522    -5.66226   0.0371382
          45     -5.6693    -5.66242   0.0363132
          46    -5.64658    -5.66208   0.0355254
          47    -5.62117    -5.66121   0.0347802
          48    -5.59633    -5.65985   0.0340819
          49    -5.57384     -5.6581   0.0334315
          50    -5.55596    -5.65606   0.0328253
          51    -5.54444    -5.65387   0.0322545
          52     -5.5362    -5.65161   0.0317135
          53    -5.53148    -5.64934    0.031196
          54    -5.53799    -5.64728   0.0306864
          55    -5.55653    -5.64563   0.0301728
          56    -5.57869    -5.64443   0.0296576
          57    -5.59658    -5.64359   0.0291492
          58     -5.6083    -5.64298    0.028653
          59    -5.61438     -5.6425   0.0281714
          60    -5.61487    -5.64204   0.0277057
          61    -5.61332    -5.64157   0.0272555
          62    -5.60795    -5.64103   0.0268213
          63    -5.60142     -5.6404   0.0264029
