#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.36395    -6.36395           0
           2    -6.36192    -6.36294 0.000717142
           3    -6.36007    -6.36198 0.000915529
           4    -6.35824    -6.36104   0.0010622
           5    -6.35667    -6.36017  0.00115561
           6    -6.35459    -6.35924  0.00128359
           7    -6.35279    -6.35832  0.00139177
           8    -6.35097     -6.3574   0.0014903
           9    -6.34763    -6.35631   0.0016742
          10    -6.34378    -6.35506  0.00191929
          11    -6.34223    -6.35389  0.00206912
          12    -6.33921    -6.35267  0.00222917
          13    -6.33695    -6.35146   0.0023632
          14    -6.33359    -6.35018  0.00251569
          15    -6.33117    -6.34892  0.00264816
          16    -6.32838    -6.34763  0.00277633
          17    -6.32627    -6.34638  0.00288341
          18    -6.32366    -6.34511  0.00298663
          19    -6.32302    -6.34395  0.00304741
          20    -6.31892     -6.3427  0.00314152
          21    -6.31302    -6.34129  0.00329457
          22    -6.30973    -6.33985  0.00344299
          23    -6.30883     -6.3385  0.00354763
          24    -6.30698    -6.33719  0.00363487
          25    -6.30317    -6.33583  0.00373553
          26    -6.30039    -6.33447  0.00383253
          27    -6.29491      -6.333  0.00396077
          28    -6.29122    -6.33151  0.00409077
          29    -6.29082    -6.33011  0.00418338
          30    -6.28629    -6.32865  0.00429129
          31    -6.28139    -6.32712  0.00441535
          32    -6.27799    -6.32559   0.0045365
          33     -6.2788    -6.32417  0.00461522
          34    -6.27197    -6.32263  0.00472795
          35    -6.26637    -6.32103  0.00485843
          36    -6.25746    -6.31926  0.00503412
          37    -6.25199    -6.31744  0.00521607
          38    -6.24884    -6.31564   0.0053822
          39    -6.24919    -6.31393  0.00550728
          40    -6.24342    -6.31217  0.00564468
          41    -6.24172    -6.31045  0.00576263
          42    -6.24241    -6.30883  0.00584872
          43    -6.24191    -6.30727  0.00591614
          44    -6.23853    -6.30571  0.00598446
          45    -6.23768     -6.3042  0.00603941
          46    -6.23149    -6.30262  0.00611148
          47    -6.22758    -6.30102   0.0061865
          48    -6.22504    -6.29944  0.00625686
          49    -6.22562    -6.29793  0.00630792
          50    -6.22418    -6.29646  0.00635189
          51    -6.22523    -6.29506  0.00637905
          52    -6.22003    -6.29362   0.0064175
          53    -6.22004    -6.29223  0.00644482
          54    -6.21679    -6.29083  0.00647513
          55    -6.21514    -6.28946    0.006502
          56    -6.21673    -6.28816  0.00651432
          57    -6.21373    -6.28685  0.00652959
          58     -6.2174    -6.28566  0.00652589
          59    -6.21285    -6.28442  0.00653089
          60    -6.21746    -6.28331   0.0065167
          61    -6.22045    -6.28227  0.00649081
          62    -6.21578     -6.2812  0.00647413
          63    -6.21276    -6.28012  0.00646187
          64    -6.21637    -6.27912  0.00643721
          65    -6.21536    -6.27814  0.00641248
          66    -6.21009    -6.27711  0.00639767
          67    -6.20855    -6.27608  0.00638348
          68    -6.20403    -6.27503  0.00637694
          69    -6.20551    -6.27402  0.00636361
          70    -6.19907    -6.27295  0.00636213
          71    -6.19568    -6.27186  0.00636492
          72    -6.19021    -6.27072  0.00637674
          73    -6.18497    -6.26955  0.00639667
          74     -6.1847     -6.2684  0.00641219
          75    -6.17533    -6.26716  0.00644565
          76    -6.17071    -6.26589  0.00648459
          77    -6.16535    -6.26459  0.00653052
          78     -6.1609    -6.26326  0.00658069
          79    -6.15504    -6.26189  0.00663843
          80    -6.14761    -6.26046  0.00670739
          81    -6.14565    -6.25904  0.00677269
          82    -6.13786    -6.25756  0.00684945
          83    -6.14071    -6.25616   0.0069101
          84    -6.14292    -6.25481   0.0069581
          85    -6.13811    -6.25344  0.00701038
