#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -3.39136    -3.39136           0
           2    -1.25475    -2.32305    0.755407
           3   -0.870586     -1.8389    0.640226
           4   -0.481717     -1.4996    0.562942
           5   -0.498234    -1.29933    0.484671
           6   -0.106194    -1.10047    0.442811
           7    -0.39353   -0.999481      0.3909
           8   -0.807189   -0.975445    0.342775
           9  -0.0822263   -0.876198    0.318733
          10  -0.0911121   -0.797689    0.296371
          11   -0.284983    -0.75108    0.273069
          12   0.0805869   -0.681774    0.258959
          13  -0.0150364   -0.630487    0.244065
          14    0.186268   -0.572147      0.2335
          15    0.349576   -0.510699    0.225874
          16  -0.0482496   -0.481796    0.213598
          17    0.105052   -0.447275    0.203804
          18    0.375983   -0.401539    0.197547
          19    0.343122   -0.362346    0.190998
          20    0.711544   -0.308652    0.188845
          21    0.258019   -0.281667     0.18177
          22    0.171366   -0.261075     0.17467
          23    0.377327   -0.233318    0.169267
          24     0.14662   -0.217487    0.162953
          25    0.478456    -0.18965    0.158795
          26     0.49282   -0.163401    0.154841
          27     1.05649    -0.11822    0.155559
          28     1.16417    -0.07242      0.1566
          29    0.848469  -0.0406652    0.154386
          30     1.03892 -0.00467906    0.153377
