#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -7.04928    -7.04928           0
           2    -7.03314    -7.04121  0.00570539
           3      -7.019    -7.03381   0.0071427
           4    -7.00508    -7.02663  0.00820791
           5    -6.99407    -7.02011  0.00877661
           6    -6.97917    -7.01329  0.00960729
           7    -6.96526    -7.00643   0.0104004
           8    -6.95282    -6.99973   0.0110504
           9    -6.92803    -6.99176   0.0123649
          10    -6.90064    -6.98265   0.0140917
          11    -6.89084     -6.9743   0.0150813
          12     -6.8697    -6.96559   0.0161482
          13    -6.85403      -6.957   0.0170342
          14    -6.83235     -6.9481   0.0179947
          15    -6.81658    -6.93933   0.0188104
          16    -6.80038    -6.93065    0.019537
          17     -6.7855    -6.92211   0.0201674
          18    -6.76829    -6.91356   0.0207787
          19    -6.75945    -6.90545   0.0212093
          20    -6.73313    -6.89684   0.0218289
          21    -6.70026    -6.88748    0.022708
          22    -6.67593    -6.87786   0.0236242
          23    -6.66944     -6.8688   0.0242728
          24    -6.65917    -6.86006   0.0247832
          25    -6.63712    -6.85115   0.0253456
          26    -6.62249    -6.84235   0.0258516
          27    -6.58868    -6.83296   0.0265465
          28    -6.56659    -6.82344   0.0272497
          29    -6.56467    -6.81452   0.0277326
          30    -6.54261    -6.80546   0.0282506
          31    -6.51306    -6.79602   0.0288709
          32    -6.49224    -6.78653   0.0294882
          33    -6.49439    -6.77768   0.0298939
          34    -6.45115    -6.76807   0.0305184
          35    -6.41793    -6.75807   0.0312431
          36    -6.37045     -6.7473   0.0321772
          37    -6.34309    -6.73638   0.0331102
          38    -6.32405    -6.72553   0.0339704
          39    -6.32393    -6.71523   0.0346248
          40    -6.29017     -6.7046   0.0353523
          41    -6.27879    -6.69422   0.0359832
          42    -6.27921    -6.68434   0.0364579
          43    -6.27132    -6.67473   0.0368536
          44    -6.25041    -6.66509   0.0372564
          45    -6.24359    -6.65572   0.0375875
          46      -6.213     -6.6461   0.0379826
          47    -6.19505     -6.6365   0.0383676
          48    -6.17919    -6.62697   0.0387331
          49    -6.18368    -6.61793   0.0389848
          50    -6.16526    -6.60887   0.0392423
          51    -6.17031    -6.60027   0.0394038
          52    -6.14225    -6.59147   0.0396182
          53     -6.1411    -6.58297   0.0397716
          54     -6.1194    -6.57438   0.0399508
          55    -6.11113    -6.56596   0.0401025
          56    -6.11188    -6.55785   0.0401978
          57    -6.09795    -6.54978   0.0402942
          58    -6.11906    -6.54236    0.040278
          59    -6.09083     -6.5347   0.0403158
          60    -6.11163    -6.52765   0.0402558
          61    -6.13001    -6.52113   0.0401202
          62    -6.10232    -6.51438   0.0400377
          63    -6.08541    -6.50757    0.039977
          64    -6.10268    -6.50124   0.0398498
          65    -6.09241    -6.49495     0.03973
          66    -6.06047    -6.48837   0.0396697
          67      -6.051    -6.48184    0.039611
          68    -6.02003    -6.47505   0.0396064
