#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     0.30303     0.30303           0
           2     0.30303     0.30303 2.63418e-09
           3     0.30303     0.30303 3.04169e-09
           4     0.30303     0.30303 1.86265e-09
           5     0.30303     0.30303 2.35608e-09
           6     0.30303     0.30303 2.63418e-09
           7     0.30303     0.30303 2.81605e-09
           8     0.30303     0.30303 2.28127e-09
           9     0.30303     0.30303 2.48353e-09
          10     0.30303     0.30303           0
          11     0.30303     0.30303           0
          12     0.30303     0.30303  1.0754e-09
          13     0.30303     0.30303 2.06642e-09
          14     0.30303     0.30303 2.22629e-09
          15     0.30303     0.30303 2.35608e-09
          16     0.30303     0.30303 2.28127e-09
          17     0.30303     0.30303 2.21315e-09
          18     0.30303     0.30303  2.1508e-09
          19     0.30303     0.30303 1.91103e-09
          20     0.30303     0.30303 2.20391e-09
          21     0.30303     0.30303  2.2993e-09
          22     0.30303     0.30303 2.10135e-09
          23     0.30303     0.30303 2.05516e-09
          24     0.30303     0.30303  2.1508e-09
          25     0.30303     0.30303   1.666e-09
          26     0.30303     0.30303 1.78957e-09
          27     0.30303     0.30303 1.43386e-09
          28     0.30303     0.30303 1.57422e-09
          29     0.30303     0.30303 1.38354e-09
          30     0.30303     0.30303 1.36028e-09
          31     0.30303     0.30303 6.69082e-10
          32     0.30303     0.30303 6.58545e-10
          33     0.30303     0.30303  6.4849e-10
          34     0.30303     0.30303 6.38882e-10
          35     0.30303     0.30303 6.29689e-10
          36     0.30303     0.30303 6.20882e-10
          37     0.30303     0.30303 1.50015e-09
          38     0.30303     0.30303 1.48028e-09
          39     0.30303     0.30303 1.57825e-09
          40     0.30303     0.30303  1.5584e-09
          41     0.30303     0.30303 1.64556e-09
          42     0.30303     0.30303 1.81776e-09
          43     0.30303     0.30303  1.7043e-09
          44     0.30303     0.30303 1.86265e-09
          45     0.30303     0.30303 1.84183e-09
          46     0.30303     0.30303 1.90271e-09
          47     0.30303     0.30303 1.95922e-09
          48     0.30303     0.30303  1.9387e-09
          49     0.30303     0.30303 1.99125e-09
          50     0.30303     0.30303 1.89953e-09
          51     0.30303     0.30303 1.80703e-09
          52     0.30303     0.30303 1.86265e-09
          53     0.30303     0.30303 1.84499e-09
          54     0.30303     0.30303 1.60311e-09
          55     0.30303     0.30303 1.42077e-09
          56     0.30303     0.30303 1.49344e-09
          57     0.30303     0.30303 1.48028e-09
          58     0.30303     0.30303 1.19818e-09
          59     0.30303     0.30303 1.28317e-09
          60     0.30303     0.30303 9.61866e-10
          61     0.30303     0.30303 1.26196e-09
          62     0.30303     0.30303 1.15888e-09
          63     0.30303     0.30303 1.04948e-09
          64     0.30303     0.30303 1.14063e-09
          65     0.30303     0.30303 9.24131e-10
          66     0.30303     0.30303 9.17103e-10
          67     0.30303     0.30303 4.55117e-10
          68     0.30303     0.30303 9.03516e-10
          69     0.30303     0.30303 6.34236e-10
          70     0.30303     0.30303 6.29689e-10
          71     0.30303     0.30303           0
          72     0.30303     0.30303 6.20882e-10
          73     0.30303     0.30303           0
          74     0.30303     0.30303           0
          75     0.30303     0.30303           0
