#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -6.3659     -6.3659           0
           2    -6.36588    -6.36589 7.01666e-06
           3    -6.36586    -6.36588 9.65374e-06
           4    -6.36584    -6.36587 1.06609e-05
           5    -6.36583    -6.36586 1.15714e-05
           6    -6.36581    -6.36585 1.27934e-05
           7    -6.36579    -6.36584 1.39843e-05
           8    -6.36577    -6.36583  1.4873e-05
           9    -6.36574    -6.36582 1.63181e-05
          10    -6.36571    -6.36581  1.8029e-05
          11     -6.3657     -6.3658 1.91476e-05
          12    -6.36568    -6.36579 2.02344e-05
          13    -6.36566    -6.36578 2.11093e-05
          14    -6.36563    -6.36577 2.21737e-05
          15    -6.36561    -6.36576 2.30623e-05
          16    -6.36559    -6.36575 2.38639e-05
          17    -6.36557    -6.36574 2.46614e-05
          18    -6.36555    -6.36573 2.54127e-05
          19    -6.36554    -6.36572 2.59384e-05
          20    -6.36551    -6.36571 2.67222e-05
          21    -6.36547     -6.3657 2.77459e-05
          22    -6.36544    -6.36568 2.88509e-05
          23    -6.36543    -6.36567 2.96335e-05
          24    -6.36542    -6.36566 3.02347e-05
          25    -6.36539    -6.36565  3.0888e-05
          26    -6.36537    -6.36564 3.14828e-05
          27    -6.36534    -6.36563 3.22297e-05
          28    -6.36532    -6.36562  3.2917e-05
          29    -6.36532    -6.36561 3.33865e-05
          30     -6.3653     -6.3656 3.38239e-05
          31    -6.36527    -6.36559 3.43274e-05
          32    -6.36524    -6.36558 3.48957e-05
          33    -6.36524    -6.36557 3.53251e-05
          34    -6.36519    -6.36556 3.59453e-05
          35    -6.36517    -6.36554 3.66036e-05
          36    -6.36512    -6.36553 3.74149e-05
          37     -6.3651    -6.36552 3.81771e-05
          38    -6.36508    -6.36551 3.88666e-05
          39    -6.36508     -6.3655 3.93973e-05
          40    -6.36505    -6.36549 3.99937e-05
          41    -6.36503    -6.36548 4.05318e-05
          42    -6.36503    -6.36547 4.09488e-05
          43    -6.36501    -6.36546 4.13327e-05
          44    -6.36498    -6.36544 4.17648e-05
          45    -6.36496    -6.36543 4.21904e-05
          46    -6.36493    -6.36542 4.26729e-05
          47    -6.36491    -6.36541 4.31556e-05
          48    -6.36489     -6.3654 4.36224e-05
          49    -6.36489    -6.36539 4.39612e-05
          50    -6.36486    -6.36538 4.43625e-05
          51    -6.36487    -6.36537 4.46229e-05
          52    -6.36484    -6.36536 4.49031e-05
          53    -6.36484    -6.36535 4.51322e-05
          54    -6.36481    -6.36534 4.53868e-05
          55    -6.36479    -6.36533 4.56358e-05
          56     -6.3648    -6.36532  4.5777e-05
          57    -6.36479    -6.36531 4.58981e-05
          58    -6.36479     -6.3653 4.59723e-05
          59    -6.36475    -6.36529 4.61337e-05
          60    -6.36476    -6.36528 4.62141e-05
          61    -6.36476    -6.36528 4.62368e-05
          62    -6.36472    -6.36527 4.63353e-05
          63    -6.36471    -6.36526 4.64286e-05
          64     -6.3647    -6.36525 4.65057e-05
          65    -6.36469    -6.36524 4.65835e-05
          66    -6.36465    -6.36523 4.67161e-05
          67    -6.36464    -6.36522 4.68341e-05
          68    -6.36461    -6.36521 4.70113e-05
          69    -6.36461     -6.3652 4.71394e-05
          70    -6.36459     -6.3652 4.72829e-05
          71    -6.36454    -6.36519 4.75082e-05
          72    -6.36451    -6.36518 4.77701e-05
          73    -6.36447    -6.36517 4.81023e-05
          74    -6.36445    -6.36516 4.84148e-05
          75    -6.36442    -6.36515 4.87637e-05
          76    -6.36439    -6.36514 4.91369e-05
          77    -6.36436    -6.36513 4.95255e-05
          78    -6.36433    -6.36512 4.99369e-05
          79     -6.3643    -6.36511   5.036e-05
          80    -6.36424     -6.3651 5.08855e-05
          81    -6.36424    -6.36509 5.13561e-05
          82    -6.36419    -6.36508 5.18717e-05
          83     -6.3642    -6.36506 5.23191e-05
          84    -6.36419    -6.36505 5.27256e-05
          85    -6.36414    -6.36504 5.31918e-05
          86    -6.36414    -6.36503 5.36093e-05
          87    -6.36409    -6.36502  5.4086e-05
          88    -6.36407    -6.36501 5.45521e-05
          89    -6.36404      -6.365 5.50186e-05
          90    -6.36404    -6.36499  5.5429e-05
          91    -6.36404    -6.36498 5.57895e-05
          92    -6.36402    -6.36497 5.61415e-05
          93    -6.36398    -6.36496  5.6535e-05
          94    -6.36395    -6.36495 5.69341e-05
          95    -6.36392    -6.36494 5.73482e-05
          96     -6.3639    -6.36493 5.77563e-05
          97    -6.36386    -6.36491 5.82035e-05
          98    -6.36382     -6.3649  5.8676e-05
          99    -6.36382    -6.36489 5.90921e-05
         100    -6.36381    -6.36488 5.94905e-05
         101    -6.36379    -6.36487 5.98771e-05
         102    -6.36381    -6.36486 6.01844e-05
         103    -6.36379    -6.36485 6.04958e-05
         104    -6.36372    -6.36484 6.08854e-05
         105    -6.36371    -6.36483 6.12468e-05
         106    -6.36373    -6.36482 6.15371e-05
         107    -6.36374    -6.36481 6.17741e-05
         108    -6.36369     -6.3648 6.20628e-05
         109    -6.36368    -6.36479 6.23347e-05
         110    -6.36363    -6.36478 6.26482e-05
         111     -6.3636    -6.36477 6.29728e-05
         112    -6.36353    -6.36476 6.33642e-05
         113    -6.36354    -6.36474 6.37106e-05
         114     -6.3635    -6.36473  6.4087e-05
         115    -6.36348    -6.36472 6.44512e-05
         116    -6.36347    -6.36471 6.47975e-05
         117    -6.36347     -6.3647 6.51078e-05
         118    -6.36346    -6.36469  6.5396e-05
         119    -6.36345    -6.36468 6.56775e-05
         120    -6.36347    -6.36467 6.59027e-05
         121    -6.36345    -6.36466 6.61257e-05
         122    -6.36344    -6.36465 6.63346e-05
         123    -6.36344    -6.36464 6.65248e-05
         124    -6.36342    -6.36463 6.67167e-05
         125     -6.3634    -6.36462  6.6911e-05
         126    -6.36334    -6.36461 6.71433e-05
         127    -6.36331     -6.3646 6.73855e-05
         128    -6.36331    -6.36459 6.76107e-05
         129    -6.36331    -6.36458 6.78087e-05
         130    -6.36329    -6.36457 6.80097e-05
         131    -6.36326    -6.36456 6.82179e-05
         132    -6.36323    -6.36455 6.84443e-05
         133    -6.36322    -6.36454 6.86612e-05
         134    -6.36323    -6.36453 6.88393e-05
         135    -6.36319    -6.36452 6.90404e-05
         136     -6.3632    -6.36451 6.92162e-05
         137    -6.36325     -6.3645 6.93201e-05
         138    -6.36324    -6.36449 6.94175e-05
         139    -6.36323    -6.36448 6.95108e-05
         140    -6.36319    -6.36447 6.96222e-05
         141    -6.36315    -6.36446 6.97554e-05
         142    -6.36312    -6.36446 6.99044e-05
         143    -6.36312    -6.36445 7.00388e-05
         144     -6.3631    -6.36444   7.017e-05
         145    -6.36309    -6.36443 7.03015e-05
